Código;Descrição;Unidade;Valor unitário;Favorita
5000000658;RET ESTRIBO OU GRAMPO LINHA VIVA RD LV;UN;175,15;
5000000658;RETIRAR OBJETO ESTRANHO REDE LV;UN;278,71;
5000000658;INST MUFLA RD CONDUTOR LV;UN;781,26;
5000000658;RET MUFLA RD CONDUTOR LV;UN;546,89;
5000000658;INST ESTR PRI 2/3F SUS/PAS SP CRUZ SP LV;UN;634,69;
5000000658;RET ESTR PRI 2/3F SUS/PAS SP CRUZ SP LV;UN;408,04;
5000000658;INST ESTR PRI 2/3F SUS/PAS DP CRUZ DP LV;UN;1136,65;
5000000658;RET ESTR PRI 2/3F SUS/PAS DP CRUZ DP LV;UN;730,66;
5000000658;INST ESTR PRI 2/3F ANC/AMA SP CRUZ DP LV;UN;971,53;
5000000658;RET ESTR PRI 2/3F ANC/AMA SP CRUZ DP LV;UN;624,5;
5000000658;INST ESTR PRI 2/3F ANC/AMA DP CRUZ DP LV;UN;1623,8;
5000000658;RET ESTR PRI 2/3F ANC/AMA DP CRUZ DP LV;UN;1043,88;
5000000658;RET ESTR PRI 1F SUSP/PAS SP S/CRUZ LV;UN;122,44;
5000000658;INST ESTR PRI 1F SUSP/PAS DP S/CRUZ LV;UN;271,98;
5000000658;RET ESTR PRI 1F SUSP/PAS DP S/CRUZ LV;UN;174,86;
5000000658;INST ESTR PRI 1F ANC/AMA SP S/CRUZ LV;UN;252,58;
5000000658;RET ESTR PRI 1F ANC/AMA SP S/CRUZ LV;UN;162,45;
5000000658;INST ESTR PRI 1F ANC/AMA DP S/CRUZ LV;UN;388,53;
5000000658;RET ESTR PRI 1F ANC/AMA DP S/CRUZ LV;UN;249,77;
5000000658;INST ESTR PRI 2/3F SUS/PAS SP S/CRUZ LV;UN;445,36;
5000000658;RET ESTR PRI 2/3F SUS/PAS SP S/CRUZ LV;UN;286,27;
5000000658;INST ESTR PRI 2/3F ANC/AMA SP S/CRUZ LV;UN;636,28;
5000000658;RET ESTR PRI 2/3F ANC/AMA SP S/CRUZ LV;UN;408,97;
5000000658;INST ESTR PRI 2/3F ANC/AMA DP S/CRUZ LV;UN;1139,34;
5000000658;RET ESTR PRI 2/3F ANC/AMA DP S/CRUZ LV;UN;732,42;
5000000658;INST ESTR PRI 3F ANC/AMA CRUZ DP HT LV;UN;2087,79;
